dataset,method,k,k_frac,beta,gamma,runs,max_steps,mean_final_recovered,mean_peak_infected
USAir,CycleRatioBase,4,0.012048192771084338,0.03,0.1,200,200,0.6164006024096387,0.29781626506024095
USAir,CRimp,4,0.012048192771084338,0.03,0.1,200,200,0.6164006024096386,0.29733433734939757
USAir,PageRank,4,0.012048192771084338,0.03,0.1,200,200,0.6164006024096386,0.29733433734939757
USAir,Degree,4,0.012048192771084338,0.03,0.1,200,200,0.6159337349397591,0.2976656626506024
USAir,Betweenness,10,0.030120481927710843,0.03,0.1,200,200,0.6263102409638555,0.31635542168674696
USAir,Degree,10,0.030120481927710843,0.03,0.1,200,200,0.619066265060241,0.3057078313253012
USAir,CRimp,10,0.030120481927710843,0.03,0.1,200,200,0.6175301204819277,0.30795180722891563
USAir,PageRank,10,0.030120481927710843,0.03,0.1,200,200,0.6175301204819277,0.30795180722891563
USAir,CycleRatioBase,10,0.030120481927710843,0.03,0.1,200,200,0.6135843373493977,0.303960843373494
USAir,Betweenness,17,0.05120481927710843,0.03,0.1,200,200,0.6296084337349397,0.32025602409638554
USAir,CRimp,17,0.05120481927710843,0.03,0.1,200,200,0.6237198795180723,0.3141415662650603
USAir,PageRank,17,0.05120481927710843,0.03,0.1,200,200,0.6224096385542168,0.3117469879518072
USAir,Degree,17,0.05120481927710843,0.03,0.1,200,200,0.6179216867469879,0.3029969879518072
USAir,CycleRatioBase,17,0.05120481927710843,0.03,0.1,200,200,0.616551204819277,0.31246987951807226
Yeast,CRimp,24,0.010105263157894737,0.03,0.1,200,200,0.5122021052631579,0.17844842105263162
Yeast,Betweenness,24,0.010105263157894737,0.03,0.1,200,200,0.5091094736842104,0.17339157894736842
Yeast,PageRank,24,0.010105263157894737,0.03,0.1,200,200,0.5090210526315789,0.17019368421052633
Yeast,CycleRatioBase,24,0.010105263157894737,0.03,0.1,200,200,0.5073305263157895,0.17188000000000003
Yeast,Degree,24,0.010105263157894737,0.03,0.1,200,200,0.5042526315789474,0.13751789473684212
Yeast,CRimp,72,0.03031578947368421,0.03,0.1,200,200,0.5281768421052632,0.19957473684210528
Yeast,Betweenness,72,0.03031578947368421,0.03,0.1,200,200,0.5198757894736842,0.1903978947368421
Yeast,PageRank,72,0.03031578947368421,0.03,0.1,200,200,0.5168736842105264,0.18352842105263156
Yeast,CycleRatioBase,72,0.03031578947368421,0.03,0.1,200,200,0.5117473684210526,0.18653263157894734
Yeast,Degree,72,0.03031578947368421,0.03,0.1,200,200,0.5037494736842105,0.1490378947368421
Yeast,CRimp,119,0.050105263157894736,0.03,0.1,200,200,0.5413473684210526,0.2173536842105263
Yeast,Betweenness,119,0.050105263157894736,0.03,0.1,200,200,0.5381915789473685,0.21334736842105265
Yeast,PageRank,119,0.050105263157894736,0.03,0.1,200,200,0.5242968421052632,0.19552842105263157
Yeast,CycleRatioBase,119,0.050105263157894736,0.03,0.1,200,200,0.5163852631578948,0.20128631578947367
Yeast,Degree,119,0.050105263157894736,0.03,0.1,200,200,0.5044357894736842,0.15814105263157896
