method,auc,p_star_gcc_lt_0.1,gcc@0.1,gcc@0.2,gcc@0.3,gcc@0.5
PageRank,0.25604608962367803,0.38235294117647056,0.5204301075268817,0.19100529100529098,0.1681159420289855,0.11764705882352941
CRimp,0.25769381500729927,0.35294117647058826,0.5204301075268817,0.29417989417989415,0.12608695652173912,0.058823529411764705
Degree,0.26914548750248773,0.4117647058823529,0.5204301075268817,0.23492063492063486,0.20144927536231888,0.11764705882352941
Betweenness,0.27690497196957425,0.6176470588235294,0.5204301075268817,0.242063492063492,0.25217391304347825,0.11764705882352941
CycleRatioBase,0.27985926244294185,0.7058823529411765,0.5204301075268817,0.22063492063492063,0.21014492753623187,0.11764705882352941
